,count,mean,std,min,25%,50%,75%,max
units_sold,700.0,1608.2942857142857,867.4278590570525,200.0,905.0,1542.5,2229.125,4492.5
manufacturing_price,700.0,96.47714285714285,108.60261218681302,3.0,5.0,10.0,250.0,260.0
sale_price,700.0,118.42857142857143,136.7755145691398,7.0,12.0,20.0,300.0,350.0
gross_sales,700.0,182759.42642857143,254262.28437834268,1799.0,17391.75,37980.0,279025.0,1207500.0
discounts,700.0,13150.354671428571,22962.928760440587,0.0,800.3199999999999,2585.25,15956.3475,149677.5
sales,700.0,169609.07184285714,236726.3468993033,1655.08,15928.0,35540.2,261077.5,1159200.0
cogs,700.0,145475.21142857143,203865.50611847595,918.0,7490.0,22506.25,245607.5,950625.0
profit,700.0,26354.77827142857,41426.798656567036,0.0,3815.7075,11110.55,23756.36,262200.0
month_number,700.0,7.9,3.377320640200437,1.0,5.75,9.0,10.25,12.0
year,700.0,2013.75,0.4333223284615595,2013.0,2013.75,2014.0,2014.0,2014.0
