model,task,train_time_sec,inference_time_sec,mae,r2,run_id,target,k,silhouette
RandomForestRegressor,supervised(profit),1.2599561999995783,0.0894874999994499,4130.995439,0.9648261629847446,,,,
MLPRegressor,supervised(profit),2.0660730999989028,0.0073959000001195,13781.118861318608,0.737712779897059,,,,
KMeans,clustering(k=2),1.7046095000005153,0.0,,,,,,
RF,,1.0948458000002574,0.110904399998617,59.34515714285715,0.9817314635412092,20260116_133042,units_sold,,
MLP,,1.5756397999994078,0.0072603999997227,453.6488213000295,0.4783010149565344,20260116_133042,units_sold,,
KMeans,,1.6619789000014862,,,,20260116_133042,,2.0,0.4341122653486687
KMeans,,0.0258448999993561,,,,20260116_133042,,3.0,0.2735485855834751
KMeans,,0.0260984999986249,,,,20260116_133042,,4.0,0.2740703772712918
KMeans,,0.029915200000687,,,,20260116_133042,,5.0,0.2495842232432468
KMeans,,0.0336709999992308,,,,20260116_133042,,6.0,0.2499283410843706
KMeans,,0.0336862999993172,,,,20260116_133042,,7.0,0.2425644649433044
KMeans,,0.0368564000000333,,,,20260116_133042,,8.0,0.2505185937794015
RF,,1.1337710000007064,0.1122417000005953,4130.995439,0.9648261629847446,20260116_133051,profit,,
MLP,,0.067843199998606,0.007288000000698958,30934.971757852883,-0.4526203242568956,20260116_133051,profit,,
KMeans,,1.6050844000001234,,,,20260116_133051,,2.0,0.43411226534866876
KMeans,,0.028289899999435875,,,,20260116_133051,,3.0,0.2735485855834751
KMeans,,0.02717060000031779,,,,20260116_133051,,4.0,0.27407037727129185
KMeans,,0.030145599999741535,,,,20260116_133051,,5.0,0.24958422324324683
KMeans,,0.032603600000584265,,,,20260116_133051,,6.0,0.24992834108437065
KMeans,,0.035705500000403845,,,,20260116_133051,,7.0,0.24256446494330444
KMeans,,0.03799059999983001,,,,20260116_133051,,8.0,0.25051859377940155
